Source_ID,Target_ID,Source_File,Target_File,Source_Member,Target_Member,Source_Member_Type,Target_Member_Type,Dependency_Type,Dependency_Count,Is_Member_Level,Source_Member_ID,Target_Member_ID,Source_Modules,Target_Modules,Source_Module,Target_Module
267,39,src/edu/uci/isr/archstudio4/comp/aimlauncher/AIMLauncherEditor.java,src/edu/uci/isr/archstudio4/comp/aim/IAIM.java,addRuntime,instantiate,function,function,Call,2.0,True,26741,26573,['AIMLauncher'],['AIM'],AIMLauncher,AIM
267,39,src/edu/uci/isr/archstudio4/comp/aimlauncher/AIMLauncherEditor.java,src/edu/uci/isr/archstudio4/comp/aim/IAIM.java,removeRuntime,destroy,function,function,Call,2.0,True,26751,26572,['AIMLauncher'],['AIM'],AIMLauncher,AIM
267,39,src/edu/uci/isr/archstudio4/comp/aimlauncher/AIMLauncherEditor.java,src/edu/uci/isr/archstudio4/comp/aim/IAIM.java,,IAIM,file,type,Import,1.0,False,,26574,['AIMLauncher'],['AIM'],AIMLauncher,AIM
267,39,src/edu/uci/isr/archstudio4/comp/aimlauncher/AIMLauncherEditor.java,src/edu/uci/isr/archstudio4/comp/aim/IAIM.java,init,IAIM,function,type,Use,1.0,True,26748,26574,['AIMLauncher'],['AIM'],AIMLauncher,AIM
267,39,src/edu/uci/isr/archstudio4/comp/aimlauncher/AIMLauncherEditor.java,src/edu/uci/isr/archstudio4/comp/aim/IAIM.java,AIMLauncherEditor,IAIM,type,type,Contain,1.0,True,26754,26574,['AIMLauncher'],['AIM'],AIMLauncher,AIM
390,442,src/edu/uci/isr/archstudio4/comp/archipelago/types/StructureEditDescriptionCellModifier.java,src/edu/uci/isr/archstudio4/comp/archipelago/util/AbstractEditDescriptionCellModifier.java,StructureEditDescriptionCellModifier,AbstractEditDescriptionCellModifier,function,type,Call,1.0,True,29305,30641,['Archipelago'],['Archipelago'],Archipelago,Archipelago
390,442,src/edu/uci/isr/archstudio4/comp/archipelago/types/StructureEditDescriptionCellModifier.java,src/edu/uci/isr/archstudio4/comp/archipelago/util/AbstractEditDescriptionCellModifier.java,,AbstractEditDescriptionCellModifier,file,type,Import,1.0,False,,30641,['Archipelago'],['Archipelago'],Archipelago,Archipelago
390,442,src/edu/uci/isr/archstudio4/comp/archipelago/types/StructureEditDescriptionCellModifier.java,src/edu/uci/isr/archstudio4/comp/archipelago/util/AbstractEditDescriptionCellModifier.java,StructureEditDescriptionCellModifier,AbstractEditDescriptionCellModifier,type,type,Extend,1.0,True,29307,30641,['Archipelago'],['Archipelago'],Archipelago,Archipelago
390,442,src/edu/uci/isr/archstudio4/comp/archipelago/types/StructureEditDescriptionCellModifier.java,src/edu/uci/isr/archstudio4/comp/archipelago/util/AbstractEditDescriptionCellModifier.java,canModify,AS,function,var,Use,1.0,True,29306,30642,['Archipelago'],['Archipelago'],Archipelago,Archipelago
404,279,src/edu/uci/isr/archstudio4/comp/archipelago/types/StructureNewInterfaceLogic.java,src/edu/uci/isr/archstudio4/comp/archipelago/ArchipelagoServices.java,,ArchipelagoServices,file,type,Import,1.0,False,,27252,['Archipelago'],['Archipelago'],Archipelago,Archipelago
404,279,src/edu/uci/isr/archstudio4/comp/archipelago/types/StructureNewInterfaceLogic.java,src/edu/uci/isr/archstudio4/comp/archipelago/ArchipelagoServices.java,StructureNewInterfaceLogic,ArchipelagoServices,function,type,Use,9.0,True,29777,27252,['Archipelago'],['Archipelago'],Archipelago,Archipelago
404,279,src/edu/uci/isr/archstudio4/comp/archipelago/types/StructureNewInterfaceLogic.java,src/edu/uci/isr/archstudio4/comp/archipelago/ArchipelagoServices.java,getActions,xarch,function,var,Use,9.0,True,29779,27266,['Archipelago'],['Archipelago'],Archipelago,Archipelago
404,279,src/edu/uci/isr/archstudio4/comp/archipelago/types/StructureNewInterfaceLogic.java,src/edu/uci/isr/archstudio4/comp/archipelago/ArchipelagoServices.java,getActions,resources,function,var,Use,9.0,True,29779,27262,['Archipelago'],['Archipelago'],Archipelago,Archipelago
